DATE,TXUR,CAUR,FLUR,OHUR,NYUR,MIUR,FLUR,TNUR,WAUR,ORUR,WYUR,NDUR
1976-01-01,5.8,9.2,9.7,8.1,10.3,9.9,9.7,6.0,8.5,9.5,4.1,3.4
1976-02-01,5.8,9.2,9.7,8.1,10.300,9.9,9.7,6.0,8.5,9.5,4.1,3.4
1976-03-01,5.900,9.1,9.6,8.100,10.200,9.900,9.6,6.000,8.4,9.4,4.1,3.4
1976-04-01,5.900,9.1,9.5,8.000,10.200,9.8,9.5,6.0,8.5,9.2,4.0,3.5
1976-05-01,5.900,9.0,9.3,7.8,10.1,9.600,9.3,5.9,8.5,9.1,3.9,3.6
1976-06-01,5.9,9.0,9.2,7.6,10.200,9.400,9.2,5.9,8.6,9.0,3.8,3.7
1976-07-01,5.9,9.000,9.1,7.5,10.200,9.200,9.1,6.0,8.7,9.1,3.7,3.800
1976-08-01,5.8,9.100,9.1,7.500,10.200,9.1,9.1,6.1,8.900,9.2,3.7,3.900
1976-09-01,5.700,9.200,9.1,7.500,10.200,9.000,9.1,6.100,9.000,9.200,3.7,4.0
1976-10-01,5.7,9.300,9.1,7.500,10.200,9.0,9.1,6.3,9.100,9.3,3.7,4.1
1976-11-01,5.700,9.3,9.1,7.5,10.200,9.000,9.1,6.400,9.3,9.4,3.7,4.100
1976-12-01,5.8,9.300,9.1,7.5,10.2,9.0,9.1,6.500,9.4,9.3,3.800,4.200
1977-01-01,5.8,9.200,9.0,7.4,10.1,8.900,9.0,6.5,9.4,9.2,3.800,4.300
1977-02-01,5.8,9.1,9.000,7.3,10.0,8.7,9.000,6.600,9.4,9.0,3.7,4.400
1977-03-01,5.7,8.9,8.900,7.1,9.8,8.600,8.900,6.5,9.200,8.7,3.6,4.4
1977-04-01,5.5,8.700,8.7,6.8,9.6,8.400,8.7,6.500,9.100,8.200,3.5,4.500
1977-05-01,5.4,8.6,8.6,6.600,9.300,8.300,8.6,6.400,8.8,7.8,3.3,4.5
1977-06-01,5.3,8.4,8.4,6.400,9.100,8.200,8.4,6.3,8.6,7.4,3.2,4.5
1977-07-01,5.200,8.3,8.2,6.200,9.000,8.2,8.2,6.2,8.4,7.100,3.1,4.5
1977-08-01,5.3,8.100,8.1,6.100,8.800,8.2,8.1,6.1,8.1,6.8,3.0,4.5
1977-09-01,5.3,8.0,7.9,6.100,8.8,8.1,7.9,6.1,7.8,6.600,3.0,4.5
1977-10-01,5.3,7.9,7.7,5.9,8.600,7.900,7.7,6.000,7.5,6.400,2.9,4.5
1977-11-01,5.3,7.8,7.5,5.8,8.500,7.700,7.5,6.0,7.2,6.100,2.9,4.4
1977-12-01,5.3,7.7,7.3,5.800,8.400,7.500,7.3,6.0,7.0,5.900,2.9,4.3
1978-01-01,5.2,7.600,7.1,5.700,8.2,7.3,7.1,5.9,6.8,5.700,2.8,4.3
1978-02-01,5.1,7.500,7.0,5.600,8.100,7.1,7.0,5.9,6.7,5.600,2.8,4.2
1978-03-01,5.0,7.500,6.9,5.6,8.000,7.0,6.9,5.8,6.700,5.600,2.8,4.1
1978-04-01,4.9,7.4,6.800,5.500,7.900,6.9,6.800,5.8,6.700,5.7,2.8,4.1
