DATE,SDUR,MOUR,MTUR,ILUR,IDUR,IAUR,OKUR,KSUR,NEUR,MNUR,MEUR,NVUR
1976-01-01,3.3,5.9,5.8,6.6,5.6,4.3,5.8,4.2,3.3,6.0,8.7,9.2
1976-02-01,3.3,5.9,5.8,6.6,5.6,4.3,5.8,4.2,3.3,6.0,8.7,9.2
1976-03-01,3.2,5.9,5.800,6.6,5.6,4.3,5.8,4.2,3.300,5.9,8.6,9.2
1976-04-01,3.100,6.000,5.8,6.600,5.6,4.2,5.8,4.2,3.200,5.800,8.6,9.0
1976-05-01,3.1,6.0,5.8,6.6,5.600,4.1,5.7,4.200,3.100,5.7,8.5,8.9
1976-06-01,3.1,6.100,5.8,6.6,5.600,4.0,5.6,4.1,3.100,5.600,8.4,8.700
1976-07-01,3.2,6.200,5.9,6.600,5.600,4.0,5.6,4.1,3.0,5.600,8.4,8.600
1976-08-01,3.3,6.300,5.9,6.600,5.600,3.9,5.5,4.100,3.100,5.700,8.500,8.600
1976-09-01,3.4,6.400,5.9,6.600,5.600,3.9,5.4,4.100,3.1,5.7,8.600,8.6
1976-10-01,3.5,6.500,6.000,6.5,5.7,4.0,5.4,4.100,3.1,5.800,8.8,8.6
1976-11-01,3.6,6.5,6.000,6.4,5.8,4.0,5.3,4.1,3.1,5.900,8.9,8.700
1976-12-01,3.7,6.5,6.000,6.300,5.9,4.0,5.3,4.200,3.1,5.900,9.1,8.600
1977-01-01,3.7,6.4,6.0,6.200,5.9,4.0,5.3,4.200,3.1,5.900,9.1,8.5
1977-02-01,3.7,6.3,6.0,6.100,6.0,4.0,5.3,4.200,3.1,5.800,9.1,8.200
1977-03-01,3.7,6.2,6.0,6.1,5.9,4.0,5.2,4.100,3.2,5.8,9.0,7.900
1977-04-01,3.6,6.1,6.0,6.000,5.9,4.0,5.2,4.0,3.2,5.7,8.9,7.6
1977-05-01,3.5,6.1,6.1,6.100,6.0,4.0,5.1,4.000,3.2,5.500,8.7,7.3
1977-06-01,3.4,6.1,6.1,6.1,6.0,4.1,5.0,3.9,3.3,5.400,8.5,6.900
1977-07-01,3.3,6.0,6.2,6.2,6.0,4.1,4.8,3.900,3.4,5.300,8.3,6.6
1977-08-01,3.2,6.000,6.2,6.3,5.900,4.1,4.6,3.8,3.500,5.100,8.1,6.3
1977-09-01,3.2,5.900,6.3,6.3,5.9,4.0,4.4,3.7,3.5,5.000,8.0,6.0
1977-10-01,3.100,5.800,6.3,6.3,5.700,4.0,4.2,3.6,3.6,4.800,7.8,5.600
1977-11-01,3.100,5.700,6.3,6.3,5.6,3.9,4.1,3.600,3.6,4.600,7.5,5.300
1977-12-01,3.000,5.600,6.3,6.300,5.400,3.9,4.0,3.500,3.7,4.400,7.3,5.0
1978-01-01,3.000,5.600,6.2,6.300,5.300,4.0,4.0,3.4,3.7,4.200,7.000,4.800
1978-02-01,2.900,5.500,6.1,6.300,5.200,4.0,3.9,3.3,3.6,4.100,6.8,4.600
1978-03-01,2.900,5.3,5.9,6.300,5.2,4.0,3.7,3.2,3.5,4.0,6.500,4.400
1978-04-01,3.000,5.200,5.8,6.200,5.2,3.900,3.5,3.1,3.3,3.900,6.4,4.300
1978-05-01,3.100,5.000,5.7,6.100,5.200,3.800,3.3,3.0,3.1,3.9,6.300,4.200
1978-06-01,3.2,4.900,5.5,6.000,5.300,3.700,3.1,2.9,2.9,3.9,6.200,4.200
1978-07-01,3.3,4.8,5.4,5.900,5.5,3.6,3.0,2.900,2.7,3.8,6.2,4.2
