DATE,UTUR,CAUR,AZUR,NMUR,COUR,ARUR,LAUR,MSUR,ALUR,GAUR,SCUR,NCUR
1976-01-01,5.8,9.2,10.2,8.6,5.8,7.3,6.3,6.7,6.6,8.4,7.4,6.4
1976-02-01,5.9,9.2,10.2,8.7,5.7,7.3,6.3,6.7,6.6,8.4,7.4,6.4
1976-03-01,5.800,9.1,10.1,8.7,5.7,7.3,6.300,6.6,6.600,8.400,7.3,6.400
1976-04-01,5.8,9.1,10.000,8.6,5.6,7.2,6.4,6.400,6.500,8.3,7.2,6.3
1976-05-01,5.7,9.0,9.800,8.6,5.6,7.1,6.5,6.3,6.400,8.100,7.0,6.1
1976-06-01,5.6,9.0,9.7,8.6,5.600,6.9,6.7,6.200,6.500,8.000,6.9,6.0
1976-07-01,5.500,9.000,9.7,8.6,5.800,6.8,6.8,6.200,6.600,8.0,6.8,5.900
1976-08-01,5.4,9.100,9.6,8.6,5.9,6.700,6.8,6.3,6.7,8.0,6.8,5.9
1976-09-01,5.400,9.200,9.6,8.7,6.100,6.600,6.9,6.4,6.8,8.000,6.8,6.0
1976-10-01,5.400,9.300,9.5,8.900,6.3,6.600,6.9,6.600,6.9,8.100,6.8,6.200
1976-11-01,5.5,9.3,9.4,9.0,6.4,6.600,6.9,6.700,7.0,8.1,6.9,6.300
1976-12-01,5.5,9.300,9.300,9.0,6.5,6.600,6.9,6.8,7.2,8.1,7.0,6.400
1977-01-01,5.5,9.200,9.3,9.0,6.6,6.600,6.9,6.9,7.3,8.100,7.1,6.5
1977-02-01,5.5,9.1,9.2,8.8,6.600,6.600,6.8,7.0,7.4,7.900,7.2,6.4
1977-03-01,5.5,8.9,9.1,8.6,6.6,6.600,6.8,7.1,7.5,7.7,7.2,6.3
1977-04-01,5.400,8.700,9.0,8.3,6.5,6.6,6.7,7.2,7.5,7.4,7.1,6.2
1977-05-01,5.4,8.6,8.8,8.1,6.4,6.500,6.7,7.3,7.5,7.1,7.000,6.000
1977-06-01,5.300,8.4,8.6,7.800,6.3,6.400,6.7,7.3,7.4,6.9,6.8,5.9
1977-07-01,5.200,8.3,8.4,7.6,6.2,6.400,6.7,7.4,7.3,6.7,6.700,5.8
1977-08-01,5.2,8.100,8.2,7.4,6.200,6.400,6.8,7.400,7.100,6.600,6.6,5.7
1977-09-01,5.1,8.0,8.0,7.2,6.2,6.400,7.0,7.3,6.900,6.500,6.5,5.7
1977-10-01,4.9,7.9,7.7,6.9,6.2,6.400,7.2,7.3,6.800,6.300,6.4,5.6
1977-11-01,4.8,7.8,7.4,6.7,6.2,6.4,7.4,7.2,6.6,6.1,6.2,5.4
1977-12-01,4.7,7.7,7.100,6.4,6.2,6.4,7.5,7.1,6.5,5.9,6.0,5.200
1978-01-01,4.6,7.600,6.800,6.3,6.2,6.3,7.6,7.1,6.4,5.7,5.8,5.000
1978-02-01,4.4,7.500,6.5,6.1,6.1,6.2,7.600,7.0,6.3,5.600,5.6,4.8
1978-03-01,4.2,7.500,6.3,6.1,6.0,6.2,7.500,7.0,6.3,5.5,5.6,4.7
1978-04-01,4.0,7.4,6.1,6.1,5.9,6.1,7.300,7.0,6.2,5.600,5.6,4.6
1978-05-01,3.800,7.3,5.9,6.1,5.8,6.000,7.100,7.0,6.2,5.6,5.7,4.5
