DATE,KYUR,INUR,AKUR,HIUR
1976-01-01,5.600,6.6,7.1,9.8
1976-02-01,5.600,6.6,7.100,9.8
1976-03-01,5.6,6.500,7.0,9.8
1976-04-01,5.6,6.3,6.9,9.7
1976-05-01,5.500,6.000,6.9,9.4
1976-06-01,5.5,5.800,7.100,9.2
1976-07-01,5.400,5.700,7.300,9.0
1976-08-01,5.4,5.700,7.600,8.9
1976-09-01,5.300,5.700,8.0,8.800
1976-10-01,5.200,5.800,8.3,8.7
1976-11-01,5.2,5.800,8.6,8.7
1976-12-01,5.100,5.900,8.9,8.6
1977-01-01,5.100,5.800,9.1,8.5
1977-02-01,5.000,5.800,9.4,8.3
1977-03-01,5.000,5.800,9.6,8.100
1977-04-01,4.900,5.7,9.7,7.900
1977-05-01,4.800,5.700,9.9,7.6
1977-06-01,4.7,5.7,9.900,7.4
1977-07-01,4.700,5.7,10.000,7.3
1977-08-01,4.700,5.800,10.000,7.2
1977-09-01,4.700,5.800,10.0,7.3
1977-10-01,4.800,5.800,10.1,7.3
1977-11-01,4.900,5.800,10.4,7.3
1977-12-01,4.9,5.800,10.6,7.2
1978-01-01,5.000,5.800,10.9,7.2
1978-02-01,5.0,5.8,11.000,7.1
1978-03-01,5.000,5.700,11.1,7.0
1978-04-01,4.9,5.600,11.1,7.0
1978-05-01,4.9,5.5,11.0,7.0
1978-06-01,5.0,5.500,10.800,7.1
1978-07-01,5.0,5.4,10.700,7.1
1978-08-01,5.1,5.4,10.600,7.0
1978-09-01,5.1,5.4,10.400,6.9
1978-10-01,5.200,5.500,10.200,6.800
1978-11-01,5.200,5.500,10.0,6.6
1978-12-01,5.200,5.5,9.8,6.500
1979-01-01,5.3,5.600,9.6,6.4
1979-02-01,5.3,5.600,9.4,6.3
1979-03-01,5.4,5.600,9.2,6.2
1979-04-01,5.4,5.700,9.1,6.1
1979-05-01,5.400,5.900,9.0,6.0
1979-06-01,5.4,6.200,8.9,5.8
1979-07-01,5.5,6.4,9.0,5.7
1979-08-01,5.6,6.7,9.0,5.5
1979-09-01,5.6,7.0,9.0,5.4
1979-10-01,5.7,7.3,9.0,5.2
1979-11-01,5.800,7.5,8.8,5.1
1979-12-01,6.000,7.7,8.7,5.0
1980-01-01,6.200,7.9,8.7,4.9
1980-02-01,6.600,8.4,8.8,4.8
1980-03-01,7.000,8.9,9.1,4.7
1980-04-01,7.5,9.600,9.5,4.800
1980-05-01,8.0,10.200,9.800,4.900
1980-06-01,8.3,10.7,10.000,5.000
1980-07-01,8.6,10.8,10.1,5.1
1980-08-01,8.8,10.7,10.000,5.100
1980-09-01,8.9,10.4,9.900,5.1
1980-10-01,8.800,10.0,9.7,5.1
1980-11-01,8.7,9.600,9.5,5.1
1980-12-01,8.6,9.400,9.3,5.1
1981-01-01,8.500,9.3,9.1,5.1
1981-02-01,8.400,9.3,8.9,5.1
1981-03-01,8.300,9.3,8.7,5.1
1981-04-01,8.200,9.3,8.7,5.1
1981-05-01,8.200,9.3,8.8,5.0
