"names","waves","vars"
"ER24138D1",2003,"ChildcareExpenditures"
"ER28037D2",2005,"ChildcareExpenditures"
"ER41027D2",2007,"ChildcareExpenditures"
"ER46971D2",2009,"ChildcareExpenditures"
"ER52395D2",2011,"ChildcareExpenditures"
"ER33718",2003,"HealthInsurance_Men1"
"ER33819",2005,"HealthInsurance_Men1"
"ER33919",2007,"HealthInsurance_Men1"
"ER34022",2009,"HealthInsurance_Men1"
"ER34121",2011,"HealthInsurance_Men1"
"ER33719",2003,"HealthInsurance_Men2"
"ER33820",2005,"HealthInsurance_Men2"
"ER33920",2007,"HealthInsurance_Men2"
"ER34023",2009,"HealthInsurance_Men2"
"ER34122",2011,"HealthInsurance_Men2"
"ER33720",2003,"HealthInsurance_Men3"
"ER33821",2005,"HealthInsurance_Men3"
"ER33921",2007,"HealthInsurance_Men3"
"ER34024",2009,"HealthInsurance_Men3"
"ER34123",2011,"HealthInsurance_Men3"
"ER24170",2003,"HouseholdID"
"ER28069",2005,"HouseholdID"
"ER41059",2007,"HouseholdID"
"ER47003",2009,"HouseholdID"
"ER52427",2011,"HouseholdID"
"ER21023",2003,"MaritalStatusOfHead"
"ER25023",2005,"MaritalStatusOfHead"
"ER36023",2007,"MaritalStatusOfHead"
"ER42023",2009,"MaritalStatusOfHead"
"ER47323",2011,"MaritalStatusOfHead"
"ER21020",2003,"NumberOfChildrenInFU"
"ER25020",2005,"NumberOfChildrenInFU"
"ER36020",2007,"NumberOfChildrenInFU"
"ER42020",2009,"NumberOfChildrenInFU"
"ER47320",2011,"NumberOfChildrenInFU"
"ER21042",2003,"OwnOrRent"
"ER25028",2005,"OwnOrRent"
"ER36028",2007,"OwnOrRent"
"ER42029",2009,"OwnOrRent"
"ER47329",2011,"OwnOrRent"
"ER23426",2003,"RaceOfHead_Men1"
"ER27393",2005,"RaceOfHead_Men1"
"ER40565",2007,"RaceOfHead_Men1"
"ER46543",2009,"RaceOfHead_Men1"
"ER51904",2011,"RaceOfHead_Men1"
"ER23427",2003,"RaceOfHead_Men2"
