"names","waves"
"V1015","1969"
"V1766","1970"
"V2345","1971"
"V2979","1972"
"V3310","1973"
"V3730","1974"
"V4231","1975"
"V5113","1976"
"V5681","1977"
"V6220","1978"
"V6814","1979"
"V7456","1980"
"V8110","1981"
"V12443","1985"
"V13682","1986"
"V14732","1987"
"V16207","1988"
"V17584","1989"
"V18936","1990"
"V20236","1991"
"V21542","1992"
"V23356","1993"
"ER4159R","1994"
"ER6999R","1995"
"ER9250R","1996"
"ER12223R","1997"
"ER16447","1999"
"ER20393","2001"
"ER24170","2003"
"ER28069","2005"
"ER41059","2007"
"ER47003","2009"
"ER52427","2011"
"ER58245","2013"
"ER65481","2015"
"ER71560","2017"
"ER77621","2019"
