"names","waves"
"V5502","1977"
"V6034","1978"
"V6659","1979"
"V7261","1980"
"V7952","1981"
"V8603","1982"
"V9276","1983"
"V10426","1984"
"V11612","1985"
"V13017","1986"
"V14120","1987"
"V15136","1988"
"V16637","1989"
"V18055","1990"
"V19355","1991"
"V20657","1992"
"V22412","1993"
"ER2014","1994"
"ER5013","1995"
"ER7013","1996"
"ER10016","1997"
"ER13021","1999"
"ER17024","2001"
"ER21023","2003"
"ER25023","2005"
"ER36023","2007"
"ER42023","2009"
"ER47323","2011"
"ER53023","2013"
"ER60024","2015"
"ER66024","2017"
"ER72024","2019"
