"names","waves"
"V398","1968"
"V550","1969"
"V1242","1970"
"V1945","1971"
"V2545","1972"
"V3098","1973"
"V3511","1974"
"V3924","1975"
"V4439","1976"
"V5353","1977"
"V5853","1978"
"V6465","1979"
"V7070","1980"
"V7661","1981"
"V8355","1982"
"V8964","1983"
"V10422","1984"
"V11609","1985"
"V13014","1986"
"V14117","1987"
"V15133","1988"
"V16634","1989"
"V18052","1990"
"V19352","1991"
"V20654","1992"
"V22409","1993"
"ER2010","1994"
"ER5009","1995"
"ER7009","1996"
"ER10012","1997"
"ER13013","1999"
"ER17016","2001"
"ER21020","2003"
"ER25020","2005"
"ER36020","2007"
"ER42020","2009"
"ER47320","2011"
"ER53020","2013"
"ER60021","2015"
"ER66021","2017"
"ER72021","2019"
