"names","waves"
"V103","1968"
"V593","1969"
"V1264","1970"
"V1967","1971"
"V2566","1972"
"V3108","1973"
"V3522","1974"
"V3939","1975"
"V4450","1976"
"V5364","1977"
"V5864","1978"
"V6479","1979"
"V7084","1980"
"V7675","1981"
"V8364","1982"
"V8974","1983"
"V10437","1984"
"V11618","1985"
"V13023","1986"
"V14126","1987"
"V15140","1988"
"V16641","1989"
"V18072","1990"
"V19372","1991"
"V20672","1992"
"V22427","1993"
"ER2032","1994"
"ER5031","1995"
"ER7031","1996"
"ER10035","1997"
"ER13040","1999"
"ER17043","2001"
"ER21042","2003"
"ER25028","2005"
"ER36028","2007"
"ER42029","2009"
"ER47329","2011"
"ER53029","2013"
"ER60030","2015"
"ER66030","2017"
"ER72030","2019"
