"names","waves"
"V181","1968"
"V801","1969"
"V1490","1970"
"V2202","1971"
"V2828","1972"
"V3300","1973"
"V3720","1974"
"V4204","1975"
"V5096","1976"
"V5662","1977"
"V6209","1978"
"V6802","1979"
"V7447","1980"
"V8099","1981"
"V8723","1982"
"V9408","1983"
"V11055","1984"
"V11938","1985"
"V13565","1986"
"V14612","1987"
"V16086","1988"
"V17483","1989"
"V18814","1990"
"V20114","1991"
"V21420","1992"
"V23276","1993"
"ER3944","1994"
"ER6814","1995"
"ER9060","1996"
"ER11848","1997"
"ER15928","1999"
"ER19989","2001"
"ER23426","2003"
"ER27393","2005"
"ER40565","2007"
"ER46543","2009"
"ER51904","2011"
"ER57659","2013"
"ER64810","2015"
"ER70882","2017"
"ER76897","2019"
