"names","waves"
"V909","1969"
"V1106","1970"
"V1806","1971"
"V2407","1972"
"V3007","1973"
"V3407","1974"
"V3807","1975"
"V4307","1976"
"V5207","1977"
"V5707","1978"
"V6307","1979"
"V6907","1980"
"V7507","1981"
"V8207","1982"
"V8807","1983"
"V10007","1984"
"V11107","1985"
"V12507","1986"
"V13707","1987"
"V14807","1988"
"V16307","1989"
"V17707","1990"
"V19007","1991"
"V20307","1992"
"V21606","1993"
"ER2005F","1994"
"ER5005F","1995"
"ER7005F","1996"
"ER10005F","1997"
"ER13005E","1999"
"ER17006","2001"
"ER21005","2003"
"ER25005","2005"
"ER36005","2007"
"ER42005","2009"
"ER47305","2011"
"ER53005","2013"
"ER60005","2015"
"ER66005","2017"
"ER72005","2019"
