"names","waves"
"V93","1968"
"V537","1969"
"V1103","1970"
"V1803","1971"
"V2403","1972"
"V3003","1973"
"V3403","1974"
"V3803","1975"
"V4303","1976"
"V5203","1977"
"V5703","1978"
"V6303","1979"
"V6903","1980"
"V7503","1981"
"V8203","1982"
"V8803","1983"
"V10003","1984"
"V11103","1985"
"V12503","1986"
"V13703","1987"
"V14803","1988"
"V16303","1989"
"V17703","1990"
"V19003","1991"
"V20303","1992"
"V21603","1993"
"ER4156","1994"
"ER6996","1995"
"ER9247","1996"
"ER12221","1997"
"ER13004","1999"
"ER17004","2001"
"ER21003","2003"
"ER25003","2005"
"ER36003","2007"
"ER42003","2009"
"ER47303","2011"
"ER53003","2013"
"ER60003","2015"
"ER66003","2017"
"ER72003","2019"
