"names","waves"
"V1220","1970"
"V1922","1971"
"V2523","1972"
"V3076","1973"
"V3488","1974"
"V3889","1975"
"V4404","1976"
"V5316","1977"
"V5815","1978"
"V6426","1979"
"V7016","1980"
"V7608","1981"
"V8301","1982"
"V8909","1983"
"V10305","1984"
"V11461","1985"
"V12868","1986"
"V13970","1987"
"V14985","1988"
"V16485","1989"
"V17901","1990"
"V19201","1991"
"V20501","1992"
"V22366","1993"
"ER4147","1994"
"ER6987","1995"
"ER9238","1996"
"ER12071","1997"
"ER16454","1999"
"ER20450","2001"
"ER24101","2003"
"ER28002","2005"
"ER40992","2007"
"ER46900","2009"
"ER52308","2011"
"ER58117","2013"
"ER65314","2015"
"ER71391","2017"
"ER77413","2019"
