"names","waves"
"ER30004","1968"
"ER30023","1969"
"ER30046","1970"
"ER30070","1971"
"ER30094","1972"
"ER30120","1973"
"ER30141","1974"
"ER30163","1975"
"ER30191","1976"
"ER30220","1977"
"ER30249","1978"
"ER30286","1979"
"ER30316","1980"
"ER30346","1981"
"ER30376","1982"
"ER30402","1983"
"ER30432","1984"
"ER30466","1985"
"ER30501","1986"
"ER30538","1987"
"ER30573","1988"
"ER30609","1989"
"ER30645","1990"
"ER30692","1991"
"ER30736","1992"
"ER30809","1993"
"ER33104","1994"
"ER33204","1995"
"ER33304","1996"
"ER33404","1997"
"ER33504","1999"
"ER33604","2001"
"ER33704","2003"
"ER33804","2005"
"ER33904","2007"
"ER34004","2009"
"ER34104","2011"
"ER34204","2013"
"ER34305","2015"
"ER34504","2017"
"ER34704","2019"
