"names","waves"
"ER30010","1968"
"ER30052","1970"
"ER30076","1971"
"ER30100","1972"
"ER30126","1973"
"ER30147","1974"
"ER30169","1975"
"ER30197","1976"
"ER30226","1977"
"ER30255","1978"
"ER30296","1979"
"ER30326","1980"
"ER30356","1981"
"ER30384","1982"
"ER30413","1983"
"ER30443","1984"
"ER30478","1985"
"ER30513","1986"
"ER30549","1987"
"ER30584","1988"
"ER30620","1989"
"ER30657","1990"
"ER30703","1991"
"ER30748","1992"
"ER30820","1993"
"ER33115","1994"
"ER33215","1995"
"ER33315","1996"
"ER33415","1997"
"ER33516","1999"
"ER33616","2001"
"ER33716","2003"
"ER33817","2005"
"ER33917","2007"
"ER34020","2009"
"ER34119","2011"
"ER34230","2013"
"ER34349","2015"
"ER34548","2017"
"ER34752","2019"
