"names","waves"
"ER30293","1979"
"ER30323","1980"
"ER30353","1981"
"ER30382","1982"
"ER30411","1983"
"ER30441","1984"
"ER30474","1985"
"ER30509","1986"
"ER30545","1987"
"ER30580","1988"
"ER30616","1989"
"ER30653","1990"
"ER30699","1991"
"ER30744","1992"
"ER30816","1993"
"ER33111","1994"
"ER33211","1995"
"ER33311","1996"
"ER33411","1997"
"ER33512","1999"
"ER33612","2001"
"ER33712","2003"
"ER33813","2005"
"ER33913","2007"
"ER34016","2009"
"ER34116","2011"
"ER34216","2013"
"ER34317","2015"
"ER34516","2017"
"ER34716","2019"
