"names","waves"
"ER30001","1968"
"ER30020","1969"
"ER30043","1970"
"ER30067","1971"
"ER30091","1972"
"ER30117","1973"
"ER30138","1974"
"ER30160","1975"
"ER30188","1976"
"ER30217","1977"
"ER30246","1978"
"ER30283","1979"
"ER30313","1980"
"ER30343","1981"
"ER30373","1982"
"ER30399","1983"
"ER30429","1984"
"ER30463","1985"
"ER30498","1986"
"ER30535","1987"
"ER30570","1988"
"ER30606","1989"
"ER30642","1990"
"ER30689","1991"
"ER30733","1992"
"ER30806","1993"
"ER33101","1994"
"ER33201","1995"
"ER33301","1996"
"ER33401","1997"
"ER33501","1999"
"ER33601","2001"
"ER33701","2003"
"ER33801","2005"
"ER33901","2007"
"ER34001","2009"
"ER34101","2011"
"ER34201","2013"
"ER34301","2015"
"ER34501","2017"
"ER34701","2019"
