"names","waves"
"ER30005","1968"
"ER30024","1969"
"ER30047","1970"
"ER30071","1971"
"ER30095","1972"
"ER30121","1973"
"ER30142","1974"
"ER30164","1975"
"ER30192","1976"
"ER30221","1977"
"ER30250","1978"
"ER30287","1979"
"ER30317","1980"
"ER30347","1981"
"ER30377","1982"
"ER30405","1983"
"ER30435","1984"
"ER30469","1985"
"ER30504","1986"
"ER30541","1987"
"ER30576","1988"
"ER30612","1989"
"ER30648","1990"
"ER30695","1991"
"ER30739","1992"
"ER30812","1993"
"ER33107","1994"
"ER33207","1995"
"ER33307","1996"
"ER33407","1997"
"ER33507","1999"
"ER33607","2001"
"ER33707","2003"
"ER33807","2005"
"ER33907","2007"
"ER34007","2009"
"ER34107","2011"
"ER34207","2013"
"ER34308","2015"
"ER34507","2017"
"ER34707","2019"
