"names","waves"
"ER30003","1968"
"ER30022","1969"
"ER30045","1970"
"ER30069","1971"
"ER30093","1972"
"ER30119","1973"
"ER30140","1974"
"ER30162","1975"
"ER30190","1976"
"ER30219","1977"
"ER30248","1978"
"ER30285","1979"
"ER30315","1980"
"ER30345","1981"
"ER30375","1982"
"ER30401","1983"
"ER30431","1984"
"ER30465","1985"
"ER30500","1986"
"ER30537","1987"
"ER30572","1988"
"ER30608","1989"
"ER30644","1990"
"ER30691","1991"
"ER30735","1992"
"ER30808","1993"
"ER33103","1994"
"ER33203","1995"
"ER33303","1996"
"ER33403","1997"
"ER33503","1999"
"ER33603","2001"
"ER33703","2003"
"ER33803","2005"
"ER33903","2007"
"ER34003","2009"
"ER34103","2011"
"ER34203","2013"
"ER34303","2015"
"ER34503","2017"
"ER34703","2019"
