"names","waves"
"ER30021","1969"
"ER30044","1970"
"ER30068","1971"
"ER30092","1972"
"ER30118","1973"
"ER30139","1974"
"ER30161","1975"
"ER30189","1976"
"ER30218","1977"
"ER30247","1978"
"ER30284","1979"
"ER30314","1980"
"ER30344","1981"
"ER30374","1982"
"ER30400","1983"
"ER30430","1984"
"ER30464","1985"
"ER30499","1986"
"ER30536","1987"
"ER30571","1988"
"ER30607","1989"
"ER30643","1990"
"ER30690","1991"
"ER30734","1992"
"ER30807","1993"
"ER33102","1994"
"ER33202","1995"
"ER33302","1996"
"ER33402","1997"
"ER33502","1999"
"ER33602","2001"
"ER33702","2003"
"ER33802","2005"
"ER33902","2007"
"ER34002","2009"
"ER34102","2011"
"ER34202","2013"
"ER34302","2015"
"ER34502","2017"
"ER34702","2019"
