"Year","state","fmhpi"
1975,"AK",37.2613055860833
1976,"AK",41.4116944450833
1977,"AK",45.1978506821667
1978,"AK",49.3920115435833
1979,"AK",55.2352889925833
1980,"AK",55.9112600815
1981,"AK",65.0333871359167
1982,"AK",75.6544347155
1983,"AK",83.02816412775
1984,"AK",85.2303712659167
1985,"AK",82.0224518765
1986,"AK",78.61928102175
1987,"AK",66.8962811399167
1988,"AK",68.0681817995
1989,"AK",60.4937085326667
1990,"AK",64.1028083880833
1991,"AK",71.1337727105
1992,"AK",74.3687681389167
1993,"AK",76.6154005755833
1994,"AK",80.9978922620833
1995,"AK",83.9852563415
1996,"AK",86.989342361
1997,"AK",89.99588454
1998,"AK",92.95282659575
1999,"AK",95.4350203796667
2000,"AK",97.99495865125
2001,"AK",103.368658033333
2002,"AK",109.96156922
2003,"AK",117.7363265175
2004,"AK",128.313439224167
2005,"AK",142.073855478333
2006,"AK",153.822175748333
2007,"AK",157.692946004167
2008,"AK",155.417671178333
2009,"AK",154.062920916667
2010,"AK",154.030789021667
2011,"AK",155.101190335
2012,"AK",155.9622415825
2013,"AK",161.7467265775
2014,"AK",166.499765655833
2015,"AK",171.213933216667
2016,"AK",173.554114226667
2017,"AK",175.975040605833
2018,"AK",178.5869547325
2019,"AK",182.550483323333
2020,"AK",189.7116053825
2021,"AK",206.03003451
1975,"AL",35.9810568033333
1976,"AL",38.04731610925
1977,"AL",40.2566957518333
1978,"AL",44.47707877025
1979,"AL",48.6881756193333
1980,"AL",51.0390218511667
1981,"AL",52.1046160536667
1982,"AL",53.0699488615
1983,"AL",55.0874908886667
1984,"AL",57.9400770093333
1985,"AL",59.52630365875
1986,"AL",62.6319747406667
1987,"AL",65.0363903211667
1988,"AL",66.2393858519167
1989,"AL",67.9696143946667
1990,"AL",69.6132401541667
1991,"AL",70.9020123485
1992,"AL",73.3157451646667
1993,"AL",76.5110595821667
1994,"AL",80.0952480394167
1995,"AL",83.1481461065833
1996,"AL",86.4069047580833
1997,"AL",89.39908761775
1998,"AL",92.1019960205833
1999,"AL",95.6991304423333
2000,"AL",98.979092874
2001,"AL",101.191301075833
2002,"AL",104.069900159167
2003,"AL",107.844755715
2004,"AL",113.211546568333
2005,"AL",121.482618760833
2006,"AL",131.55297841
2007,"AL",135.570206894167
2008,"AL",132.8952265875
2009,"AL",127.0808588875
2010,"AL",121.4141978075
2011,"AL",115.681047396667
2012,"AL",116.187353964167
2013,"AL",120.034566719167
2014,"AL",123.433780984167
2015,"AL",127.002389456667
2016,"AL",130.950126011667
2017,"AL",136.314021623333
2018,"AL",143.698258206667
2019,"AL",150.5812453525
2020,"AL",162.595839064167
2021,"AL",183.921235044444
1975,"AR",37.8171505325
1976,"AR",40.01593654875
1977,"AR",43.6177534941667
1978,"AR",47.7414122365833
1979,"AR",53.1704598046667
1980,"AR",55.85845545025
1981,"AR",57.1495093390833
